30Z,30Z,70Z,70Z,55R,55R,70R,70R
Flow,Head,Flow,Head,Flow,Head,Flow,Head
11.83852415,8.442475805,38.02354522,10.03748424,53.15700643,3.486856878,70.16460854,4.372914299
11.98198589,8.365987271,38.30327364,9.767028232,53.71950643,3.391902405,71.15701411,4.236061875
12.13313309,8.273356677,38.58300206,9.496572225,54.28200643,3.291104579,72.03915239,4.115966891
12.30477482,8.174186479,38.86273047,9.198518667,54.84450643,3.18592424,72.92129068,3.993079
12.48410201,8.075678519,39.07252679,8.924382987,55.40700643,3.076361386,73.80342896,3.864605296
12.62756375,7.972245161,39.3522552,8.635528612,55.96950643,2.96095518,74.68556725,3.741717405
12.79408185,7.86608007,39.63198362,8.320916523,56.53200643,2.851392327,75.56770553,3.613243701
12.94676614,7.773896486,39.91171204,7.978706881,57.09450643,2.740368635,76.44984382,3.484769997
13.05197142,7.694394768,40.13549477,7.632081632,57.58200643,2.631097949,77.3319821,3.353503387
13.17835439,7.608800457,40.40123677,7.299807109,58.19272072,2.510390988,78.21412038,3.219443869
13.30644524,7.51741156,40.57606703,6.99071453,58.78200643,2.385384989,79.09625867,3.088177259
13.39867065,7.442909741,40.8208294,6.650344726,59.26950643,2.264719767,79.97839695,2.954117742
13.50626696,7.366421208,41.0865714,6.249996242,59.81325643,2.150190064,80.86053524,2.814472411
13.61386327,7.282979171,41.27538808,5.942007565,60.37575643,2.021636315,81.74267352,2.677619987
13.72145958,7.199537134,41.45021834,5.649473517,60.93825643,1.891621729,82.62481181,2.540767563
13.82905589,7.113777263,41.59008255,5.391896368,61.48200643,1.765113154,83.23128188,2.426258392
13.9366522,7.019904972,41.72994676,5.149037913,61.89450643,1.644155764,84.16855381,2.289405969
14.04424851,6.934145101,41.86981097,4.876742069,62.43825643,1.523490541,85.05069209,2.149760638
14.15184482,6.837954976,41.97470912,4.584208021,62.98200643,1.386463932,85.93283037,1.998943681
14.24509495,6.746168736,42.12156654,4.249725695,63.37575643,1.270765559,86.81496866,1.859298351
14.34910472,6.657163896,42.3593357,3.831714778,63.75075643,1.165585219,87.42143873,1.733617553
